frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
76,0.076,0.98,1,0.077,0.131,0.05,-0.08,-0.058,0.0,0.0,0.0,0.0,0.184,0.11000000000000001,0.0,0.152,0.286,0.3,0.0,0.054000000000000006,0.154,0.162,0.018,0.0,0.0
77,0.077,0.98,1,0.078,0.13,0.05,-0.079,-0.059,0.0,0.0,0.0,0.0,0.19,0.11200000000000002,0.0,0.156,0.27999999999999997,0.27999999999999997,0.0,0.062,0.176,0.152,0.0,0.0,0.0
78,0.078,0.98,1,0.079,0.132,0.05,-0.078,-0.06,0.0,0.0,0.0,0.0,0.20600000000000002,0.11399999999999999,0.0,0.16,0.286,0.272,0.0,0.05600000000000001,0.178,0.148,0.0,0.0,0.0
79,0.079,0.98,1,0.075,0.137,0.054,-0.076,-0.062,0.0,0.0,0.0,0.0,0.21400000000000002,0.11200000000000002,0.0,0.178,0.292,0.256,0.0,0.041999999999999996,0.16999999999999998,0.13999999999999999,0.002,0.008,0.0
80,0.08,0.98,1,0.077,0.138,0.056,-0.074,-0.063,0.0,0.0,0.0,0.0,0.22200000000000003,0.128,0.0,0.188,0.298,0.248,0.0,0.028000000000000004,0.16,0.142,0.016,0.008,0.0
81,0.081,0.98,1,0.08,0.133,0.055,-0.076,-0.063,0.0,0.0,0.0,0.0,0.22799999999999998,0.13999999999999999,0.0,0.192,0.296,0.258,0.0,0.014000000000000002,0.174,0.13799999999999998,0.028000000000000004,0.008,0.0
82,0.082,0.98,1,0.092,0.112,0.055,-0.079,-0.064,0.0,0.0,0.0,0.0,0.238,0.11599999999999999,0.0,0.20400000000000001,0.302,0.292,0.0,0.006,0.2,0.132,0.032,0.004,0.022
83,0.083,0.98,1,0.067,0.124,0.052,-0.08,-0.065,0.0,0.0,0.0,0.0,0.24,0.08199999999999999,0.0,0.22200000000000003,0.306,0.324,0.0,0.008,0.22400000000000003,0.128,0.026000000000000002,0.004,0.044
84,0.084,0.98,1,0.055,0.124,0.052,-0.08,-0.064,0.0,0.0,0.0,0.0,0.236,0.06999999999999999,0.0,0.24,0.308,0.33199999999999996,0.0,0.008,0.246,0.132,0.012,0.006,0.044
85,0.085,0.98,1,0.101,0.126,0.053,-0.079,-0.065,0.0,0.0,0.0,0.0,0.22400000000000003,0.10800000000000001,0.0,0.23399999999999999,0.3,0.33599999999999997,0.004,0.014000000000000002,0.25,0.128,0.008,0.002,0.022
86,0.086,0.98,1,0.103,0.121,0.054,-0.081,-0.064,0.0,0.0,0.0,0.0,0.21800000000000003,0.124,0.0,0.22799999999999998,0.294,0.32799999999999996,0.004,0.01,0.24,0.124,0.01,0.002,0.004
87,0.087,0.98,1,0.102,0.119,0.055,-0.08,-0.065,0.0,0.0,0.0,0.0,0.22000000000000003,0.12,0.0,0.22400000000000003,0.292,0.318,0.02,0.01,0.22599999999999998,0.11599999999999999,0.012,0.0,0.004
88,0.088,0.98,1,0.1,0.114,0.054,-0.08,-0.065,0.0,0.0,0.0,0.0,0.21600000000000003,0.11399999999999999,0.0,0.21800000000000003,0.29,0.294,0.03,0.002,0.202,0.10600000000000001,0.02,0.0,0.01
89,0.089,0.98,1,0.097,0.115,0.054,-0.078,-0.065,0.0,0.0,0.0,0.0,0.21800000000000003,0.146,0.0,0.22599999999999998,0.284,0.286,0.03,0.014000000000000002,0.176,0.11000000000000001,0.03,0.012,0.006
90,0.09,0.98,1,0.061,0.101,0.049,-0.082,-0.061,0.0,0.0,0.0,0.0,0.21000000000000002,0.194,0.0,0.22799999999999998,0.262,0.292,0.014000000000000002,0.04,0.156,0.11200000000000002,0.048,0.032,0.006
