frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
61,0.061,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03561305,4.841073e-08,0.08024659,0.04546961,0.05343242,0.0549417,0.07512705,0.06601752,0.0780794,0.06593352,0.02615305,0.02824461,0.08475675,0.01936259,0.03879673,0.08068421,0.0
62,0.062,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03563932,4.8508e-08,0.080322,0.04532425,0.05351362,0.05493558,0.07512534,0.06619942,0.08030436,0.06678805,0.02625654,0.02818707,0.08542401,0.01961709,0.03920579,0.08055098,0.0
63,0.063,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03566305,4.802224e-08,0.08039415,0.04521503,0.05357578,0.05496621,0.0751252,0.06642444,0.08337879,0.06744456,0.0263228,0.02809056,0.08725411,0.01978569,0.03971319,0.08053561,0.0
64,0.064,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03568032,4.758568e-08,0.08058403,0.0451093,0.05366796,0.05508085,0.07512541,0.0668215,0.08862102,0.06816966,0.0263586,0.02801706,0.09012531,0.01988754,0.04015765,0.0804843,0.0
65,0.065,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03566064,4.712354e-08,0.08087994,0.04499079,0.0538037,0.05539589,0.07512442,0.06771673,0.09753773,0.06902516,0.02637857,0.02793786,0.09337036,0.0201035,0.0409455,0.08057522,0.0
66,0.066,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03567861,4.652875e-08,0.08165925,0.04485053,0.05418702,0.05566223,0.07512268,0.0691458,0.1118556,0.07023163,0.02637326,0.02786746,0.09473002,0.01998482,0.04270525,0.0807971,0.0
67,0.067,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03564269,4.562756e-08,0.08372337,0.04472404,0.05462573,0.05602344,0.07512186,0.07033205,0.1301264,0.07175418,0.02635186,0.02783231,0.0955689,0.0195903,0.04435646,0.08074828,0.0
68,0.068,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03561584,4.485727e-08,0.08575056,0.04459338,0.05498404,0.05631488,0.0751211,0.07094131,0.1475256,0.07531322,0.02633812,0.02790565,0.09594753,0.0190629,0.04545441,0.08069576,0.0
69,0.069,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03560483,4.397028e-08,0.08766308,0.04448679,0.05542573,0.056463,0.07512454,0.07098694,0.1731523,0.07950637,0.02630946,0.02799062,0.09565817,0.01857707,0.0464917,0.08061829,0.0
70,0.07,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03560894,4.346633e-08,0.09101015,0.04439977,0.05574295,0.05730676,0.07513849,0.07153437,0.1990751,0.0813586,0.02628301,0.0281085,0.09536299,0.01804438,0.04718425,0.08053984,0.0
