frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26,AU45_r
46,0.046,1.0,1,0.081,0.092,0.041,-0.084,-0.051,0.40005366134137754,0.2830684997872392,0.031272399492589406,0.021286381633451115,0.00034438666751314965,0.00232498428575624,4.6220565245899557e-07,0.0016635724556172827,0.026593463297854,0.38421702311602446,0.00756369631200595,0.08647513892924462,0.013023994871039567,0.17760660337088408,0.0003059063385887345,0.0010322498271198841,0.0
47,0.047,1.0,1,0.082,0.088,0.042,-0.085,-0.05,0.4242507801924276,0.28549072674378595,0.03226956741807936,0.026794238083154,0.0003042385993450859,0.002343891614415834,3.8002183174034005e-07,0.0016473769861878082,0.029429527211573964,0.4217150553515262,0.0075955554867995064,0.09228392704434367,0.012814393766552796,0.18225817301318303,0.00030771930379928616,0.001035227826026632,0.0
48,0.048,1.0,1,0.071,0.086,0.041,-0.083,-0.049,0.38615774114041657,0.2525593029660776,0.03540540037743694,0.016745571910859406,0.0003103283406192859,0.0025221701624800158,4.849956865210864e-07,0.0018263002525473948,0.02426642046869218,0.40569218350184877,0.005361862814304202,0.08166726104365413,0.018669041912957186,0.19930148532723183,0.0003436631957126303,0.00110804514155232,0.0
49,0.049,1.0,1,0.078,0.097,0.044,-0.083,-0.05,0.4027925109839515,0.2693621425662415,0.027273315790308793,0.024283727468275694,0.00038583973802435557,0.002013921479368625,4.1402005704491074e-07,0.0020470702346844123,0.04290573802519352,0.4883709188378247,0.008331232750626066,0.0946636166669544,0.012992671768680958,0.2013079956618294,0.0002927335851520535,0.0010820044293521865,0.0
50,0.05,1.0,1,0.075,0.097,0.045,-0.083,-0.05,0.4088074021526491,0.26464577698472996,0.029698333341704703,0.01972415657362935,0.00035333922080690297,0.0026382193036027547,3.654579737566472e-07,0.001665551209157811,0.03215509882679185,0.4672740653785721,0.008784842247030123,0.11183578591487513,0.01294496013426003,0.2180362657678411,0.00029322786321254616,0.001122145715542955,0.0
51,0.051,1.0,1,0.07,0.09,0.043,-0.082,-0.05,0.4095497517113575,0.27132660998795055,0.027747575370788136,0.02554887073147701,0.0003040349643381352,0.0023458449815170397,3.5718286993124523e-07,0.0018322514790997024,0.03363321981012575,0.4479064629417339,0.006401255622261983,0.07733120891915404,0.014090992725769727,0.18404964415626804,0.000303590112631498,0.000986763919977154,0.0
52,0.052,1.0,1,0.066,0.093,0.043,-0.083,-0.051,0.3762610455333248,0.2449503641518131,0.0392205238878986,0.02492480204279118,0.00045296006370185144,0.0022493583939825223,6.129307692423551e-07,0.0022484086657642067,0.03206928995894275,0.4905394224929003,0.006771630732972239,0.09102857580533895,0.021347237228334783,0.17795623997075882,0.0005109675684079698,0.0016068918226774648,0.0
53,0.053,1.0,1,0.066,0.078,0.041,-0.085,-0.051,0.3392742595465996,0.2514477726872271,0.03336631795263507,0.03547291997794206,0.0003796990012527467,0.0022289838241278366,5.86228739077046e-07,0.0019904752331571258,0.02800183550457368,0.44402814377429756,0.006378892033568482,0.0833912233543259,0.02235199833954531,0.15098838895076466,0.0007015575211889215,0.0019251647031694543,0.0
54,0.054,1.0,1,0.066,0.082,0.042,-0.084,-0.051,0.38780780400403286,0.2536850988879279,0.03620891114637683,0.02106194049127346,0.00034025710830480057,0.0029068848821174,4.975898826697849e-07,0.0017818602731728744,0.022500557443469016,0.3772960016121588,0.006272646009887274,0.0804602110181649,0.019593793122339515,0.18438241121619797,0.0004014413489513701,0.0011957756798776518,0.0
55,0.055,1.0,1,0.061,0.082,0.042,-0.083,-0.051,0.4343023990765745,0.2713454010059181,0.04133089908343548,0.020361663037724746,0.0003310363921855273,0.002705068256932557,4.1889983075393714e-07,0.0015594869280928716,0.02073287423850806,0.3689040029655164,0.005818123005242749,0.07587648984120911,0.020235443254734184,0.18908878714787852,0.00040529882804002073,0.0011838926578752224,0.0
56,0.056,1.0,1,0.062,0.09,0.042,-0.084,-0.052,0.366044088248012,0.2577214433580583,0.039960250691484504,0.02057206131316257,0.00042692710377051634,0.0026999961072563146,6.090272288560963e-07,0.0019260140366773111,0.02407452024911825,0.3988068000060216,0.004810095444284949,0.08245995217590282,0.021388708395035004,0.16950224235008393,0.0004384664147924242,0.00140894101426405,0.0
57,0.057,1.0,1,0.062,0.092,0.044,-0.084,-0.051,0.3496944763933041,0.2504753096001101,0.030736339408922057,0.031934906732781716,0.00037020780247418167,0.0030587126485599856,5.046073781716254e-07,0.0016272704363512228,0.026129450309215575,0.3939186286880837,0.007056491869411357,0.08694374579854935,0.011598394785671685,0.191883827739118,0.0003100338425555172,0.0010441355385444858,0.0
58,0.058,1.0,1,0.059,0.111,0.041,-0.084,-0.051,0.3693277139348968,0.21494461374414986,0.03431653214014602,0.008489892165504182,0.0004983320652260913,0.0028216666652776416,1.0293854855092765e-06,0.0017184955825627097,0.03103437608213944,0.4493148639171082,0.008574781123296236,0.11324154700570663,0.01270657631527703,0.22443588754101995,0.0004073360928689994,0.0015629706597584583,0.0
59,0.059,1.0,1,0.071,0.132,0.043,-0.084,-0.051,0.3962161823928358,0.2393637715170018,0.026500978513010236,0.0092044593384111,0.0004394084244814104,0.0027893955961156825,6.914533168201273e-07,0.0015675048577666116,0.05018204933906558,0.5274144886234808,0.009724922049977021,0.11616047201838896,0.012666992244821351,0.2700415943620683,0.00032561297108678404,0.0014224502584402456,0.0
60,0.06,1.0,1,0.08,0.133,0.049,-0.083,-0.049,0.3727325194984328,0.2303134385474451,0.03189361490409038,0.0120237820370246,0.000342846402028106,0.0028409850149900646,6.387388372375307e-07,0.0018360838202334548,0.042348639117054374,0.5382366171274626,0.007679009730120044,0.11752528613330376,0.017011300147867853,0.28477623339948266,0.00032139998670369606,0.0014497761509719728,0.0
61,0.061,1.0,1,0.074,0.132,0.048,-0.084,-0.048,0.3463863765215546,0.22104153914936067,0.02758123259890085,0.011629576004303659,0.0004180170348473562,0.002885813029330834,5.909858757324565e-07,0.001795441520675866,0.05331644677030358,0.5901760843666577,0.006106541578399131,0.10973856374749962,0.01832621268565747,0.30900014030091283,0.0003638602083752749,0.0016616907609516062,0.0
62,0.062,1.0,1,0.077,0.138,0.051,-0.085,-0.049,0.3812335352076639,0.22603722071366986,0.02614272481098124,0.008081689240055336,0.0005498795078296221,0.003114575373918319,7.91860850071732e-07,0.0015883751938703598,0.10169202032310794,0.706698545147223,0.008425218964992633,0.13775838558705739,0.013848887801183542,0.3760484847462565,0.0002996522854416921,0.0016252569157883744,0.0
63,0.063,1.0,1,0.078,0.139,0.047,-0.086,-0.049,0.36167404679175164,0.2279640059963393,0.03096037979030629,0.009543731422770861,0.0005941124750067778,0.002965571257789004,8.055336939101102e-07,0.001799737387311097,0.11935010549332456,0.756890535150671,0.00560307485159123,0.12915107732282877,0.022991547811864035,0.3859573765551757,0.0004411220200475903,0.0022719425425965704,0.0
64,0.064,1.0,1,0.075,0.147,0.05,-0.085,-0.05,0.3262942865426287,0.23710476951931342,0.021846979416449693,0.011973676901075377,0.000895959630556724,0.0026004348072817553,7.808237063847537e-07,0.0025434456475039763,0.20627840338436843,0.8448264883391025,0.006705748001885295,0.16485885525435898,0.023925686716641255,0.44583179040632676,0.0004574873020701846,0.0028562168813483385,0.0
65,0.065,1.0,1,0.077,0.144,0.049,-0.082,-0.052,0.2838223782242599,0.20057136284717123,0.02049905666014523,0.012536291745228184,0.0011976615616686782,0.0031459138257318364,8.827458485985115e-07,0.0019965370020286442,0.3261496227908838,0.8967889027736606,0.009549135004953795,0.19209034569263678,0.020777739486943475,0.5248833341910031,0.0004291352016537354,0.0031172014242630873,0.0
66,0.066,1.0,1,0.082,0.144,0.048,-0.08,-0.054,0.2828483215104863,0.2224134533987556,0.019731720877779437,0.014196029691972268,0.002005119256309236,0.003053427261665243,1.5731874573331679e-06,0.003966154305620232,0.4054745820923996,0.9203811278902099,0.009533913071324531,0.21491423049605934,0.02967588569200674,0.5438595758044589,0.0007369125385964807,0.004961135349263468,0.0
67,0.067,1.0,1,0.086,0.146,0.048,-0.076,-0.057,0.2972374328236089,0.22822261167277139,0.02276296255968601,0.013257882708462333,0.002271999786416079,0.003098653335144089,2.133080158639328e-06,0.0037221320919715306,0.4349211360673504,0.9248219022488331,0.01102787663176827,0.22053020831660028,0.0313318017843158,0.5384495494139016,0.0007038512376785699,0.005262683252245032,0.0
68,0.068,1.0,1,0.09,0.143,0.049,-0.081,-0.055,0.2685010374422832,0.2022739468242583,0.018829336923775898,0.025041598149339445,0.004129642363182682,0.004379572936853258,3.5736648116870984e-06,0.004438911226398203,0.6372957027775638,0.9343919002152217,0.01946088499785368,0.2764923194224779,0.03469115567899691,0.5973044235299353,0.0006941652567220259,0.004641418151711349,0.0
69,0.069,1.0,1,0.087,0.139,0.051,-0.08,-0.055,0.25533796956255295,0.20059279771251798,0.02467661613752568,0.022677027251649728,0.006025058873303811,0.0038654809357287385,4.438661870413203e-06,0.005419074196052309,0.6706455826781025,0.9616535455839136,0.013370524753761558,0.2717552888619206,0.045508220976958204,0.5876146499636972,0.0010241452426798725,0.008047259740555075,0.0
